"Name","Team","Bye Week","Rank","Andy","Jason","Mike","Markers"
"Buffalo Bills","BUF","7","1","1","1","1","Mark Drafted                      Mark Keeper"
"Tampa Bay Buccaneers","TB","11","2","3","2","2","Mark Drafted                      Mark Keeper"
"Los Angeles Rams","LAR","7","3","2","3","3","Mark Drafted                      Mark Keeper"
"Denver Broncos","DEN","9","4","5","6","4","Mark Drafted                      Mark Keeper"
"New Orleans Saints","NO","14","5","4","5","6","Mark Drafted                      Mark Keeper"
"Seattle Seahawks","SEA","11","6","6","4","5","Mark Drafted                      Mark Keeper"
"Los Angeles Chargers","LAC","8","7","7","8","7","Mark Drafted                      Mark Keeper"
"Green Bay Packers","GB","14","8","11","7","8","Mark Drafted                      Mark Keeper"
"New York Giants","NYG","9","9","8","9","9","Mark Drafted                      Mark Keeper"
"Dallas Cowboys","DAL","9","10","9","12","10","Mark Drafted                      Mark Keeper"
"Pittsburgh Steelers","PIT","9","11","10","11","11","Mark Drafted                      Mark Keeper"
"Indianapolis Colts","IND","14","12","12","10","12","Mark Drafted                      Mark Keeper"
"Cleveland Browns","CLE","9","13","14","15","13","Mark Drafted                      Mark Keeper"
"Kansas City Chiefs","KC","8","14","16","16","14","Mark Drafted                      Mark Keeper"
"Arizona Cardinals","ARI","13","15","15","14","18","Mark Drafted                      Mark Keeper"
"Minnesota Vikings","MIN","7","16","13","19","16","Mark Drafted                      Mark Keeper"
"Baltimore Ravens","BAL","10","17","17","17","15","Mark Drafted                      Mark Keeper"
"Carolina Panthers","CAR","13","18","18","18","19","Mark Drafted                      Mark Keeper"
"Philadelphia Eagles","PHI","7","19","21","13","21","Mark Drafted                      Mark Keeper"
"Cincinnati Bengals","CIN","10","20","19","20","17","Mark Drafted                      Mark Keeper"
"New England Patriots","NE","10","21","20","21","20","Mark Drafted                      Mark Keeper"
"Tennessee Titans","TEN","6","22","22","22","22","Mark Drafted                      Mark Keeper"
"Washington Commanders","WAS","14","23","23","23","23","Mark Drafted                      Mark Keeper"
"Miami Dolphins","MIA","11","24","26","24","24","Mark Drafted                      Mark Keeper"
"New York Jets","NYJ","10","25","24","25","25","Mark Drafted                      Mark Keeper"
"Jacksonville Jaguars","JAX","11","26","27","26","27","Mark Drafted                      Mark Keeper"
"Las Vegas Raiders","LV","6","27","27","27","28","Mark Drafted                      Mark Keeper"
"San Francisco 49ers","SF","9","28","28","28","26","Mark Drafted                      Mark Keeper"
"Detroit Lions","DET","6","29","29","29","31","Mark Drafted                      Mark Keeper"
"Chicago Bears","CHI","14","30","31","30","29","Mark Drafted                      Mark Keeper"
"Atlanta Falcons","ATL","14","31","30","31","30","Mark Drafted                      Mark Keeper"
"Houston Texans","HOU","6","32","32","32","32","Mark Drafted                      Mark Keeper"